time,mean,mean_bias_corrected,epistemic_low,epistemic_high,total_low,total_high,conformal_low,conformal_high,hybrid_low,hybrid_high
0.0,87.09247744077393,87.09451210764848,,,,,,,,
4.0,86.2102575780604,86.21227163438876,,,,,,,,
8.0,85.42963208538069,85.43162790462497,,,,,,,,
12.0,84.69523586491682,84.69721452709192,,,,,,,,
16.0,83.99551286174801,83.99747517689454,,,,,,,,
20.0,83.32473306223204,83.32667970652527,,,,,,,,
24.0,82.67933387847098,82.68126544485646,,,,,,,,
28.0,82.05681725103733,82.0587342741006,,,,,,,,
32.0,81.45529452200321,81.45719749220675,,,,,,,,
36.0,80.87326244714933,80.87515181983655,,,,,,,,
40.0,80.3094794084159,80.31135560992338,,,,,,,,
44.0,79.76289107567844,79.76475450771137,,,,,,,,
48.0,79.2325828681564,79.23443391105337,,,,,,,,
52.0,78.71774801436734,78.71958702961908,,,,,,,,
56.0,78.21766521764745,78.21949254989359,,,,,,,,
60.0,77.73168251329537,77.73349849194427,,,,,,,,
64.0,77.25920527145477,77.261010212023,,,,,,,,
68.0,76.7996870663938,76.80148127163221,,,,,,,,
72.0,76.3526225824012,76.35440634325539,,,,,,,,
76.0,75.91754200179113,75.91931559823078,,,,,,,,
80.0,75.49400649427858,75.49577019602131,,,,,,,,
84.0,75.08160453984357,75.08335860699304,,,,,,,,
88.0,74.67994889283362,74.6816935764466,,,,,,,,
92.0,74.28867404654133,74.29040958913558,,,,,,,,
96.0,73.90743409416712,73.90916073017924,,,,,,,,
100.0,73.53590090679687,73.5376188629977,,,,,,,,
104.0,73.17376256820378,73.17547206407713,,,,,,,,
108.0,72.82072201963967,72.82242326772939,,,,,,,,
112.0,72.47649587795722,72.47818908418674,,,,,,,,
116.0,72.14081339811395,72.14249876208152,,,,,,,,
120.0,71.81341555672232,71.81509327197483,,,,,,,,
124.0,71.49405423783848,71.49572449212634,,,,,,,,
128.0,71.18249150597084,71.18415448148573,,,,,,,,
132.0,70.8784989536836,70.88015482728115,,,,,,,,
136.0,70.58185711348507,70.58350605689365,,,,,,,,
140.0,70.29235492543741,70.29399710545461,,,,,,,,
144.0,70.00978925325012,70.0114248319278,,,,,,,,
148.0,69.73396444285407,69.7355935776732,,,,,,,,
152.0,69.4646919184676,69.46631476250361,,,,,,,,
156.0,69.20178981156783,69.20340651364737,,,,,,,,
160.0,68.94508261919192,68.94669332404142,,,,,,,,
164.0,68.69440088830886,68.69600573669602,,,,,,,,
168.0,68.44958092351597,68.4511800523842,,,,,,,,
172.0,68.2104645156832,68.21205805827984,,,,,,,,
176.0,67.9768986894586,67.9784867754571,,,,,,,,
180.0,67.74873546778373,67.75031822340051,,,,,,,,
184.0,67.52583165174335,67.5274091998494,,,,,,,,
188.0,67.30804861453471,67.3096210747624,,,,,,,,
192.0,67.09525210811269,67.09681959695806,,,,,,,,
196.0,66.88731208157249,66.88887471249332,,,,,,,,
200.0,66.68410251016971,66.68566039367956,,,,,,,,
204.0,66.4855012341321,66.48705447789062,,,,,,,,
208.0,66.29138980650177,66.29293851540145,,,,,,,,
212.0,66.10165334927284,66.10319762552236,,,,,,,,
216.0,65.91618041726275,65.91772036046719,,,,,,,,
220.0,65.73486286907128,65.7363985763093,,,,,,,,
